遞ｮ逶ｮ,No.,名前,年,年代区分,名前,エントリータイム,性別,距離,種目,,,,
200m IndivdualMedleyWomen,6,ANDO  Na t s u y o,1971,50-54,S A DOA IE ICLUB,03:41.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,7,TAKANO Y uk o,1971,50-54,K ONA M IS HINS A P P ORO,03:37.8,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,8,IWAWAKI Naoko,1973,50-54,M E GA LOS K OGA NE I,03:35.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,9,ME N A R D  N a t a c h a,1974,50-54,CNM ONT RE A L-NORD,03:33.9,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,10,LE ONARD La e t i t i a,1975,50-54,CLUB DE S NA GE URS DE P A RIS,03:31.8,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,11,ISHIODORI Tomoko,1971,50-54,T OK YOS C,03:26.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,12,BABAY I  L u d mi l a,1971,50-54,M A CCA B IS HOHA M,03:25.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,13,HARV E Y  E l i z a b e t h,1973,50-54,LA NE COV E M A S T E RS,03:20.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,14,RO CHE  He i d i  L o u i s e,1972,50-54,S E A S IDE P IRA T E S,03:15.1,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,15,US HE R S a m,1972,50-54,W YCOM B E DIS T RICT S C,03:04.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,16,MA T H E R - B R O WN  R e b e c c a,1973,50-54,DA RW INS T INGE RS M A S T E RS S C,03:01.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,17,BO Y KO  O k s a n a,1975,50-54,W OLFP A CK S P ORT CLUB,02:55.6,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,18,NAMAS E  Y u k o,1973,50-54,NA NIW A M E RM A ID,02:55.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,19,TRONDLE  Ur s ul a,1974,50-54,S GRE GIOFRE IB URG,02:48.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,20,JANNEL LASTENNET Kar i ne,1972,50-54,DOUA RNE NE ZNA T A T ION,02:47.2,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,21,FUE NTE S  Ze de x,1974,50-54,LIGA DE P ORT IV A E S T UDIA NT IL,02:45.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,22,LLANO P ALACI OS  S oni a,1975,50-54,C.N.S A NT URT ZI,02:45.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,23,IKEDA Yuriko,1972,50-54,E DGE,02:44.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,24,DUQ UE  CO RRE A Di a n a,1972,50-54,P A RA GUA YM A S T E RS,02:44.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,25,GORMAN He l e n,1972,50-54,CA RDIFFM A S T E RS S C,02:37.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,26,CAE T ANO  P E RE I RA G i s e l i,1972,50-54,E S P ORT E CLUB E P INHE IROS,02:36.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,1,LI N Tz u- Y i n,1976,45-49,T M S W IM M INGCLUB,03:34.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,2,BI G E A L u i s i a n a,1977,45-49,S A S S E NHE IM,03:30.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,3,MA E MO T O  Ma k i k o,1978,45-49,S A NDIE GOS W IM M A S T E RS,03:26.8,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,4,MA R K WO R T  A n j a,1978,45-49,S S V HOYE RS W E RDA,03:24.6,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,5,AL L E G RE T T I  J e n,1979,45-49,S W IM ONT A RIOM A S T E RS,03:23.1,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,6,BE CKWI T H Mi c h e l l e,1978,45-49,S OUT HDOW NS T ROJ A NS C,03:23.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,7,FORRE S TE R Ca r ol i ne  J ul i e,1979,45-49,CLA RE M ONT M A S T E RS,03:20.9,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,8,DI CKI NS O N Amy,1978,45-49,LE ICHHA RDT M A S T E RS S C,03:09.2,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,9,BL ANQ UE T  Ma r y l i n e,1978,45-49,A V E NIRM URE T NA T A T ION,03:08.9,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,10,EGBERS Cl a i r e,1976,45-49,W A RRINGA HM A S T E RS S W IM M ING,03:08.6,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,11,BRI T T O N Be k k y,1980,45-49,M S A S P ORT S S E RV ICE S LLC,03:07.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,12,HRDL I CKA BE RG E L J  V e s n a,1976,45-49,P LA V A LNIK LUB ILIRIJ A,03:05.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,13,VERHOEFF Cha nt a l  Na t ha l i,1979,45-49,OLDDUT CH,03:04.2,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,14,SZELAGOWSKA Ka t a r z y na,1979,45-49,M IE DZYS ZK OLNYUCZNIOW S K IZGIE RZ,03:00.8,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,15,MI N A R O V A  J a n a,1976,45-49,P LA V E CK YK LUB NOV YJ ICIN,02:59.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,16,PENDERGAST Chr i s t i na,1977,45-49,NA NA IM OE B B T IDE S,02:55.8,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,17,BUS S AC Ka t y,1978,45-49,S NLE NS,02:55.3,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,18,KRI T Z E R Co r n e l i a,1979,45-49,B A DHOM B URGE RS C1927,02:55.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,19,RE E D F i o n a,1976,45-49,NORT HS YDNE YM A S T E RS S C,02:55.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,20,SANTI DRI AN TOMI LLO La ur a,1977,45-49,RE A LCA NOE N.C.,02:54.1,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,21,BL O NDE E L  Na t h a l i e,1977,45-49,CNS P ORT CIT YW OLUW E,02:51.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,22,BO RRE L L O  Cl i z i a,1976,45-49,NA T A T IOM A S T E RT E A M,02:49.1,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,23,HI G UCHI  Hi t o mi,1979,45-49,NA NIW A M E RM A ID,02:47.2,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,24,LAN Zhuohong,1977,45-49,T ONGP OW E RM A S T E RS,02:45.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,25,GRI L L O An g e l a,1978,45-49,CIRCOLOCA NOT T IE RIA NIE NE,02:42.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,26,KE T T E NME Y E R- RE UL AND Ca r o,1978,45-49,S CLE DA UP HINE T T E LB RUCK,02:41.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,27,BARAV AL L E  S i mo n a,1980,45-49,NUOT OCLUB FIRE NZE,02:40.9,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,28,ME R E N D A  E l i z a b e t h,1980,45-49,T UGGE RA NONGM A S T E RS S W .A CT,02:39.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,29,OT T O Ka t j a,1980,45-49,S GS T A DT W E RK E M UNCHE N,02:38.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,30,AS Z T AL O S  L i l l a  F a n n i,1977,45-49,T OROK B A LINT IS E NIORUS ZOCLUB,02:38.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,31,SASAKI  Yuk a,1980,45-49,K A CHOS UIGE T S U,02:36.6,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,1,JEONG Yun Young,1983,40-44,S W IM ON,03:26.9,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,2,KHAN I r u m,1984,40-44,M A HA RA S HT RA UNIT,03:26.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,3,BO AL  F E RNANDE Z  L a u r a,1983,40-44,C.D.T ORRE LA GOW E LLNE S S,03:25.3,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,4,WU  K u e i - Y i,1983,40-44,HA IYE NA QUA T ICS M A S T E RCLUB,03:25.2,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,5,JI MENEZ Mahel et,1984,40-44,K RONOS,03:25.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,6,KHAN I r u m,1984,40-44,A CLUB W HA LE S T E A M,03:25.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,7,LOH X i n X i n,1985,40-44,M E RLIONM A S T E RS A QUA T ICS,03:25.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,8,JANG Ji  Hee,1983,40-44,J S S C,03:19.6,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,9,KO NI S HI  Ak i n a,1985,40-44,S HA NGHA IS W IM M INGT E A M,03:19.1,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,10,HADDAD S u z i e,1985,40-44,CA M P B E LLT OW NA US S IM A S T E RS S C,03:19.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,11,O' CONNOR Ka t h e r i n e  L o u i s,1984,40-44,S URRE YP A RK S E A HORS E S M A S T E RS,03:14.2,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,12,WI L L I A M S  M e l i n d a,1981,40-44,NE W E NGLA NDM A S T E RS S W IM CLUB,03:12.8,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,13,MI N O H A R A  Y u k o,1981,40-44,K YUS UIA IRE N,03:12.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,14,FE DOROV S KA Na di i a,1983,40-44,UK RA INE S W IM,03:10.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,15,CHE O NG  We n g  T o n g,1982,40-44,K A P OK S W IM M INGA S S .OFM A CA O,03:10.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,16,MA Y A  H a y d e e,1984,40-44,A QUA T ICCLUB A NDS W IM,03:06.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,17,CHO O  J i n g y i,1985,40-44,M E RLIONM A S T E RS A QUA T ICS,03:05.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,18,GI E Z E N An g e l a  Ma r g a r e t h a,1983,40-44,ZP CA M E RS FOORT,03:03.9,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,19,WI L L I A M S  K a r e n,1984,40-44,ROCK INGHA M M A S T E RS,03:03.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,20,CHAN Hi u  Y i n g,1984,40-44,RE A LK INE T ICS W IM M INGCLUB,03:03.2,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,21,CAMP O S  RAMI RE Z  Al b a  P a t r,1985,40-44,K RA K E NS S E V E NDA YS QRO.,03:01.2,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,22,GE ORGI ADOU My r t o,1983,40-44,P A NIONIOS GYM NA S T IK OS S YLLOGOS,02:57.9,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,23,WE B E R  B r i t t a,1982,40-44,S V NE V IGE S,02:55.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,24,NO S HI RO  Ma s a e,1983,40-44,YUCLUB,02:54.6,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,25,CAT T E L AN Da n i e l a,1983,40-44,S CHW IM M V E RE INB E IDE RB A S E L,02:52.6,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,26,UCHI Y AMA Umi k a,1985,40-44,S HA NGHA IS W IM M INGT E A M,02:50.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,27,SNYMAN Da ne l l e,1985,40-44,ROYA LS W IM M INGA CA DE M Y,02:48.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,28,CE RNA S i mo n a,1984,40-44,P LA V E CK YK LUB M E LNIK,02:42.9,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,29,KURT E E V A An a s t a s i a,1983,40-44,W E S T HOLLYW OODA QUA T ICS,02:42.8,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,30,AF O NS O  S o f i a  Ma r t i n i a n o,1984,40-44,CLUB E FLUV IA LP ORT UE NS E,02:41.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,31,AL V ARE Z  Ca r o l i n e,1982,40-44,HOLLYB URNS W IM T E A M,02:41.2,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,32,DUMO NT  E mi l i e,1985,40-44,A M S LFRE J US,02:40.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,33,KI RK S t a c i a,1981,40-44,GYM P IE GOLDFINS M A S T E RS,02:40.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,34,AL AUX  F l o r e n c e,1981,40-44,CNCA LE DONIE NS,02:39.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,35,ITO Masako,1981,40-44,A S T YOB U,02:38.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,36,GL I E S CHE  Ka t h r i n,1982,40-44,S GS T A DT W E RK E M UNCHE N,02:38.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,37,MU R P H Y  T r a c e y,1985,40-44,GIP P S LA NDFLIP P E RS M A S T E RS S W .,02:35.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,38,FE LFOLDI  V i k t or i a,1985,40-44,IRONS W IM K FT .,02:33.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,39,FUJ I NO Ma i k o,1983,40-44,T A K US HOK UUNIV E RS IT YS T A FF,02:20.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,1,JEONG Ji hyoun,1987,35-39,M ZS W IM M ING,03:17.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,2,SI EDLACZEK Anna  I z a be l a,1986,35-39,P OW E RP OINT S,03:10.8,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,3,HA S o p h i a,1986,35-39,K W A NHUNGS W IM M INGCLUB,03:05.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,4,LE E  J i nho,1986,35-39,S LS W IM,03:02.8,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,5,GARE I S  J a n a,1988,35-39,P OS T S CHW IM M V E RE INLE IP ZIG,02:58.2,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,6,SCHMI TZ Emi l y,1988,35-39,M A NA T E E A QUA T ICM A S T E RS,02:56.8,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,7,BARO N S t e p h,1987,35-39,S OUT HDOW NS T ROJ A NS C,02:55.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,8,KAS UG A S a y a k a,1990,35-39,M E RM A IDK UM A M OT O,02:55.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,9,PANZETTI  Na i l a,1990,35-39,COOP E RNUOT OS .C.S .D.,02:54.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,10,BI ANCHI  V e r o n i c a,1987,35-39,NUOT OCLUB FIRE NZE,02:53.3,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,11,EL BOUKHARI  Ri t a,1989,35-39,S T A DE FRA NCA IS OCOURB E V OIE,02:52.9,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,12,MC I N T O S H  K e l l y,1989,35-39,S ILV E RCIT YB LUE S M A S T E RS S C,02:49.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,13,RI E DE R ME DI NA Cr i s t i n a,1990,35-39,E QUIP OM A LA NQUIN,02:49.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,14,MA  C h e o k  Me i,1988,35-39,A S S .DA GINA S T ICA B LUE B IRD,02:48.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,15,NE UL O H- S T E I N An n  Kr i s t i n,1989,35-39,GIE S S E NE RS V 1923,02:48.2,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,16,DE V E RS  S h e l l e y,1986,35-39,GYM P IE GOLDFINS M A S T E RS,02:46.3,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,17,TROTTE R S ophi e,1989,35-39,ROYA LA IRFORCE S W IM T E A M,02:43.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,18,KUT Z  S a s k i a,1990,35-39,LIM M A T S HA RK S ZURICH,02:40.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,19,SJ OHOLM Chr i s t i na,1986,35-39,HONGK ONGFOOT B A LLCLUB,02:40.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,20,BAL S ANO  V e r o n i c a,1987,35-39,P A RA GUA YM A S T E RS,02:19.6,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,1,RO MANO  MART I NE Z  S a n d r a,1992,30-34,CLUB CA S A B LA NCA J URIQUILLA,03:07.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,2,KAWAS HI MA Ka n a k o,1993,30-34,S HONA NHE RO,03:06.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,3,TAO Wa i  Ki u,1993,30-34,K W A NHUNGS W IM M INGCLUB,03:05.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,4,TE DJ AS UKMANA Na t a l i e,1995,30-34,ROS E B OW LM A S T E RS,03:03.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,5,PHI LI PPOVA Anna,1993,30-34,NA B,03:03.3,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,6,CAS T I L L O  L e s l i e,1991,30-34,S NA CIW E LLNE S S CLUB,03:03.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,7,HE UMANN An n - Ka t h r i n,1993,30-34,GUDE NS B E RGE RS G,02:53.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,8,MA U R E R  J e n n i f e r,1994,30-34,T V NE LLINGE N,02:52.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,9,CURRE L L  Ki mb e r l e e,1994,30-34,W E T T ONE S S W IM M INGCLUB,02:51.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,10,OH Hy e r i,1994,30-34,T E A M UHS OO,02:50.1,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,11,KO MAT S U E r i,1995,30-34,P RONGHORNS W IM T E A M,02:49.8,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,12,HAY AS HI  Ka o r i,1994,30-34,.R,02:49.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,13,RI MME RMAN E l e a n o r,1995,30-34,OHIOS P LA S H,02:47.8,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,14,TS UBAKI  Ri s a,1992,30-34,CA M E LLIA S W IM T E A M,02:47.1,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,15,CO NT RE RAS  S o f i a,1995,30-34,ROS E B OW LM A S T E RS,02:46.9,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,16,SABI A Da na,1995,30-34,V FLW A IB LINGE N,02:46.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,17,HO ME Y E R De i k e,1991,30-34,S GW IS T E,02:45.9,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,18,ZANATTA Amy - Le e,1993,30-34,T S A M A S T E RS,02:45.3,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,19,MC D O N A G H  Me g a n,1993,30-34,OT T E RS C,02:43.8,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,20,SCHUMANN Sus a nna,1995,30-34,S CW E S CHB ORN,02:42.2,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,21,BO UF F E  T a n y a,1991,30-34,S YNE RGYM A S T E RS S W IM M INGCLUB,02:40.9,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,22,PEDOTE El y s s a,1993,30-34,T HE OLYM P ICCLUB,02:39.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,23,BRAG HI NI  F r a n c e s c a,1994,30-34,A QUA RE A L,02:37.3,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,24,SANCHEZ CASTI LLO She i l a,1995,30-34,CLUB NA T A CIONT HIA RHORA DA DA,02:36.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,25,AHMANN J o h a n n a,1993,30-34,S CHA RDT B E RG1968,02:35.9,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,26,IWATA Hikaru,1991,30-34,P IGROS,02:35.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,27,SEMENOVA Sof i i a,1995,30-34,NA B,02:35.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,28,BO WDE N Ke l l y  Ri c h e l l e,1994,30-34,CA M P B E LLT OW NA US S IM A S T E RS S C,02:34.6,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,29,FRAS E R Ca r l y  Ni c oe,1992,30-34,S ILV E RCIT YB LUE S M A S T E RS S C,02:34.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,30,MA I B E R G E R  A n n a  L e n a,1995,30-34,S CW FR.M UNCHE N,02:29.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,31,XU Xue,1991,30-34,HA NGZHOUS W IM M INGA S S OCIA T ION,02:25.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,32,GI ARE NI  Af r o d i t i,1993,30-34,NA YT IK OS S YLLOGOS P A LA IM ON,02:19.2,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,1,VARGAS CEDI LLO Ar e l y,2000,25-29,S NA CIW E LLNE S S CLUB,03:02.1,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,2,EGGART As hl e y,1998,25-29,M A NA T E E A QUA T ICM A S T E RS,03:02.1,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,3,RI O RDAN E mi l y  J a n e,1999,25-29,P OW E RP OINT S,03:02.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,4,VARGAS GONZALEZ Pe ne l ope,1996,25-29,S NA CIW E LLNE S S CLUB,03:02.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,5,HO  Ch e l s e a  X i u  E n,1997,25-29,T S A M A S T E RS,03:00.6,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,6,KANG  Y u n h y e,1998,25-29,LE T S S W IM K ORE A,03:00.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,7,TANAKA S a k i,1996,25-29,M A RUM ORI,03:00.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,8,GRONDI N- NADRE AU Na o mi e,1996,25-29,CNM ONT RE A L-NORD,02:59.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,9,LE QUI TTE - - CHARRANS OL P e r,1996,25-29,V GA S T -M A UR,02:59.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,10,NG  Y u e n  Y i n g,1999,25-29,K W A NHUNGS W IM M INGCLUB,02:58.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,11,BI L L O N- P I E RRO N L i s a  Mi c h,2000,25-29,RA CINGCLUB DE FRA NCE,02:56.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,12,HS I E H Ch i h - Y u,1999,25-29,HA IYE NA QUA T ICS M A S T E RCLUB,02:55.3,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,13,LOP E Z P ARRA S a r i t a,1997,25-29,CLUB LOS B UHOS,02:55.1,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,14,KE T E L HO HN Ki r a,1997,25-29,T S GK LE INOS T HE IM,02:54.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,15,RO UT L E DG E  G r a c e,1999,25-29,T RA FFORDM E T ROB ORS C,02:54.1,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,16,RAMI RE Z  G UT I E RRE Z  Ar a c e l,1996,25-29,CLUB CA S A B LA NCA,02:52.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,17,LAW S a r a h,1997,25-29,ILLINOIS M A S T E RS,02:51.8,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,18,HO DG S O N Ka t i e,1999,25-29,W OK INGS C,02:50.9,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,19,KUBO T A Y u r i k a,1998,25-29,M E RM A IDK UM A M OT O,02:50.0,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,20,LI LI E NTHAL J e s s i c a,1996,25-29,S S GB RA UNS CHW E IG,02:44.1,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,21,CRUZ  Di a n a,1996,25-29,UNA M,02:42.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,22,SI I NO Ve r oni que  J ul i a na,1998,25-29,CNM ONT RE A L-NORD,02:42.1,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,23,KO NI G E R Na d i n e,1997,25-29,S CLA NDS HUT,02:41.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,24,DE  L A T O RRE  G UI L  Ma r i n a,1997,25-29,W E T T ONE S S W IM M INGCLUB,02:41.4,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,25,MA R T I N  ME L I A N  R a q u e l,1999,25-29,C.N.V ULCA NIA M A S T E R,02:41.3,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,26,CHI T I  E l e o n o r a,1997,25-29,K LA B S P ORT,02:37.7,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,27,PAREDES HUETE Ux ue,1997,25-29,C.N.S A NT URT ZI,02:35.5,Women,200m,IndivdualMedley,,,,
200m IndivdualMedleyWomen,28,SZYSZKOWSKA Ka r ol i na,1996,25-29,W A T E RS QUA D,02:33.6,Women,200m,IndivdualMedley,,,,
