遞ｮ逶ｮ,No.,名前,年,年代区分,名前,エントリータイム,性別,距離,種目,,,,
50m FreestyleWomen,38,BARANY I  J u d i t,1954,70-74,T OROK B A LINT IS E NIORUS ZOCLUB,35. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,39,JONES Vi v,1954,70-74,S E A GULLS S W IM M INGCLUB,34. 87,Women,50m,Freestyle,,,,
50m FreestyleWomen,40,GI L E S  P a u l a,1954,70-74,M A LV E RNM A RLINS,34. 47,Women,50m,Freestyle,,,,
50m FreestyleWomen,1,KAKI MI  Hi s a y o,1956,65-69,COP INB E LL,51. 80,Women,50m,Freestyle,,,,
50m FreestyleWomen,2,ZHANG J un,1958,65-69,NE W W A T E RP OLOCLUB,51. 80,Women,50m,Freestyle,,,,
50m FreestyleWomen,3,MA S B O U R I A N  A n i t a,1960,65-69,CA M ONA T A T ION,50. 77,Women,50m,Freestyle,,,,
50m FreestyleWomen,4,TOY ODA Nor i k o,1956,65-69,CFCS HIM OK IT A ZA W A,48. 94,Women,50m,Freestyle,,,,
50m FreestyleWomen,5,CARI KCI O G L U Ay n u r,1960,65-69,YUZM E IDM A NYURDUS K,48. 88,Women,50m,Freestyle,,,,
50m FreestyleWomen,6,KUNAP O RN Du a n g k a mo l,1956,65-69,CHULA LONGK ORNS W IM M IM GCLUB,48. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,7,YAMADA Ay a k o,1959,65-69,RA RINA NT E S K IT A T ODA,48. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,8,NAG Y O V A Ma g d a l e n a,1960,65-69,T URCIA NS K IRA CI,47. 81,Women,50m,Freestyle,,,,
50m FreestyleWomen,9,BRAI T HWAI T E  NE AL E  L a u r a l,1959,65-69,T RINB A GOM A S T E RS S W IM CLUB,46. 91,Women,50m,Freestyle,,,,
50m FreestyleWomen,10,CAS T I L L O  P a t y,1960,65-69,A QUA T IK S P ORT CE NT E R,46. 83,Women,50m,Freestyle,,,,
50m FreestyleWomen,11,SCHWARZ Yv onne,1960,65-69,S CM A GDE B URG,46. 70,Women,50m,Freestyle,,,,
50m FreestyleWomen,12,SANTOS Ma r i s a  El e a ne,1960,65-69,CE NT A UROS CHIHUA HUA,46. 67,Women,50m,Freestyle,,,,
50m FreestyleWomen,13,CHE NE T  Ma r t a,1959,65-69,ONDA B LUS .C.S .A R.L.,45. 68,Women,50m,Freestyle,,,,
50m FreestyleWomen,14,YAMAOKA Et s uk o,1958,65-69,S US A NO,45. 31,Women,50m,Freestyle,,,,
50m FreestyleWomen,15,FUTABA Ka z uk o,1958,65-69,ROCK E T DA N,45. 03,Women,50m,Freestyle,,,,
50m FreestyleWomen,16,TATE Y AMA Ma s a k o,1960,65-69,RE NA IS S .K UM A M OT OGA K UE NDA IDORI,44. 95,Women,50m,Freestyle,,,,
50m FreestyleWomen,17,HARDI  L i a  Al i,1960,65-69,INDOM A S T E RS W IM M E RS,44. 70,Women,50m,Freestyle,,,,
50m FreestyleWomen,18,FAV A S i l v i a,1960,65-69,A CQUA 1V ILLA GE,44. 44,Women,50m,Freestyle,,,,
50m FreestyleWomen,19,TE DMAN Me r r a n Le s l e y,1956,65-69,DOLP HINS,44. 26,Women,50m,Freestyle,,,,
50m FreestyleWomen,20,TS URUS AKI  Mi dor i,1956,65-69,CW CT RE S S A,44. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,21,HO RI G UCHI  Mi e k o,1957,65-69,CW CT RE S S A,43. 69,Women,50m,Freestyle,,,,
50m FreestyleWomen,22,CARAI O N Ca me l i a,1959,65-69,T RIB E A CHB RA S OV,43. 46,Women,50m,Freestyle,,,,
50m FreestyleWomen,23,GOUDI E  J a n,1960,65-69,S OUT HGIP P S LA NDB A S S M A S T E RS,43. 46,Women,50m,Freestyle,,,,
50m FreestyleWomen,24,SHI MI ZU Hi s a k o,1959,65-69,GUP P YS W IM M INGCLUB OT A,43. 20,Women,50m,Freestyle,,,,
50m FreestyleWomen,25,YUSHARYAHYA Zs a  Zs a  Yus h,1960,65-69,M ILLE NNIUM A QUA T ICJ A K A RT A,43. 14,Women,50m,Freestyle,,,,
50m FreestyleWomen,26,QUI NN P e t r i n a,1958,65-69,W ODE NV A LLE YM A S T E RS,42. 24,Women,50m,Freestyle,,,,
50m FreestyleWomen,27,MA R T I N - B L A K E  S u s a n  G a y e,1958,65-69,HORNS B YM A S T E RS S W IM M ING,42. 01,Women,50m,Freestyle,,,,
50m FreestyleWomen,28,SEVI GNY Ni c ol e,1956,65-69,T E CHNOS P ORT M A S T E RS,41. 99,Women,50m,Freestyle,,,,
50m FreestyleWomen,29,BARBO S A Mi r t a  S u s a n a,1957,65-69,NA T A CIONA RGE NT INA M A S T E R,41. 84,Women,50m,Freestyle,,,,
50m FreestyleWomen,30,UCHI Y AMA Mi t s u k o,1959,65-69,B IGS A M I,41. 34,Women,50m,Freestyle,,,,
50m FreestyleWomen,31,RO MANO  HV I D Ca r mi t,1957,65-69,S W IM T E A M T A A S T RUP,40. 59,Women,50m,Freestyle,,,,
